,prioriteit,afstand,aantal kinderen,dienstverband,leeftijd,ervaring (jaren),code 1_BZB-01,code 1_BZB-02,code 1_BZB-03,code 2_BR,code 2_HV,beschrijving_brand,beschrijving_fabriek,beschrijving_industrie,beschrijving_natuur,beschrijving_voertuig,beschrijving_weg letsel,beschrijving_woning (brand),beschrijving_woning (dak),beschrijving_woning (schoorsteen),id's_207092,"id's_207092, 207431",id's_207431,dagdeel_avond,dagdeel_middag,dagdeel_nacht,dagdeel_ochtend,persoonlijkheidstype_denker,persoonlijkheidstype_extravert,persoonlijkheidstype_helper,persoonlijkheidstype_introvert,persoonlijkheidstype_perfectionist,hobbie_bakken,hobbie_fietsen,hobbie_koken,hobbie_lezen,hobbie_naaien,hobbie_schilderen,hobbie_sport,hobbie_tuinieren,hobbie_wandelen,hobbie_zingen,geslacht_man,geslacht_vrouw,dierenliefhebber_ja,dierenliefhebber_nee,opleidingsniveau_HBO,opleidingsniveau_MBO,opleidingsniveau_WO,woonplaats_Breda,woonplaats_Tilburg,woonplaats_Waalwijk,cluster
0,1,500,3.0,0.5,30,5,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,2
1,1,500,0.0,1.0,35,7,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,2
2,1,700,2.0,1.0,28,4,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
3,1,700,0.0,0.8,40,10,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,1
4,1,700,1.0,1.0,32,6,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,1
5,1,300,2.0,0.6,29,3,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,3
6,1,300,0.0,1.0,34,8,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,2
7,2,1000,4.0,1.2,45,12,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,0
8,1,200,0.0,0.7,26,2,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,3
9,1,200,1.0,1.0,36,9,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,2
10,1,500,3.0,0.5,30,5,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,2
11,1,500,0.0,1.0,35,7,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,2
12,1,700,2.0,1.0,28,4,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
13,1,700,0.0,0.8,40,10,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,1
14,1,700,1.0,1.0,32,6,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,1
15,1,300,2.0,0.6,29,3,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,3
